c TIGER/Line graph USA-road-d.NY
c
p sp 500 25028
c graph contains 500 nodes and 25028 arcs
c
a 1 4 90
a 1 21 992
a 1 24 191
a 1 38 950
a 1 42 564
a 1 48 101
a 1 55 415
a 1 56 720
a 1 67 640
a 1 68 816
a 1 74 957
a 1 78 225
a 1 81 413
a 1 90 903
a 1 92 180
a 1 104 582
a 1 108 527
a 1 109 761
a 1 112 342
a 1 117 556
a 1 124 525
a 1 129 250
a 1 142 789
a 1 147 881
a 1 152 969
a 1 157 264
a 1 160 993
a 1 161 214
a 1 168 339
a 1 169 707
a 1 180 133
a 1 183 428
a 1 191 50
a 1 196 323
a 1 203 729
a 1 209 613
a 1 214 775
a 1 217 144
a 1 218 685
a 1 225 414
a 1 227 311
a 1 230 641
a 1 238 638
a 1 240 723
a 1 246 895
a 1 253 170
a 1 256 657
a 1 262 773
a 1 263 930
a 1 267 998
a 1 269 329
a 1 274 806
a 1 275 599
a 1 277 469
a 1 281 38
a 1 289 568
a 1 292 732
a 1 293 383
a 1 294 133
a 1 299 422
a 1 301 89
a 1 303 265
a 1 306 201
a 1 310 139
a 1 314 939
a 1 317 929
a 1 321 103
a 1 322 713
a 1 324 424
a 1 325 787
a 1 333 478
a 1 341 734
a 1 347 780
a 1 359 468
a 1 368 809
a 1 369 674
a 1 372 637
a 1 373 465
a 1 376 447
a 1 384 918
a 1 392 814
a 1 398 127
a 1 408 723
a 1 410 413
a 1 412 947
a 1 430 761
a 1 435 332
a 1 442 30
a 1 447 495
a 1 460 464
a 1 477 451
a 1 484 583
a 2 15 81
a 2 18 651
a 2 34 721
a 2 38 371
a 2 44 931
a 2 48 176
a 2 53 436
a 2 55 355
a 2 65 962
a 2 73 913
a 2 75 440
a 2 79 741
a 2 81 380
a 2 84 248
a 2 85 767
a 2 91 368
a 2 115 64
a 2 119 565
a 2 127 285
a 2 131 878
a 2 137 43
a 2 138 360
a 2 139 642
a 2 145 989
a 2 148 472
a 2 150 973
a 2 154 18
a 2 157 966
a 2 158 788
a 2 171 468
a 2 172 548
a 2 177 868
a 2 191 118
a 2 201 621
a 2 202 591
a 2 206 48
a 2 215 796
a 2 218 26
a 2 234 754
a 2 237 109
a 2 244 290
a 2 262 194
a 2 265 850
a 2 268 670
a 2 271 793
a 2 274 968
a 2 276 389
a 2 282 857
a 2 283 532
a 2 286 674
a 2 287 86
a 2 291 574
a 2 298 385
a 2 303 727
a 2 304 562
a 2 316 856
a 2 321 51
a 2 328 579
a 2 336 821
a 2 342 838
a 2 344 398
a 2 354 720
a 2 358 58
a 2 364 515
a 2 365 692
a 2 367 648
a 2 371 914
a 2 379 487
a 2 392 673
a 2 395 20
a 2 396 596
a 2 398 962
a 2 400 213
a 2 403 797
a 2 405 983
a 2 428 5
a 2 434 764
a 2 436 372
a 2 440 213
a 2 445 647
a 2 446 397
a 2 450 650
a 2 452 220
a 2 472 781
a 2 474 728
a 2 475 133
a 2 477 988
a 2 494 778
a 2 495 711
a 3 5 160
a 3 6 968
a 3 7 108
a 3 8 879
a 3 9 25
a 3 11 974
a 3 18 923
a 3 24 672
a 3 26 239
a 3 29 409
a 3 36 696
a 3 46 258
a 3 48 356
a 3 51 9
a 3 53 822
a 3 80 504
a 3 95 992
a 3 96 179
a 3 112 619
a 3 114 715
a 3 116 743
a 3 119 265
a 3 120 463
a 3 121 393
a 3 125 484
a 3 131 595
a 3 136 120
a 3 137 616
a 3 152 582
a 3 160 250
a 3 162 678
a 3 171 741
a 3 182 217
a 3 187 137
a 3 190 971
a 3 193 593
a 3 200 462
a 3 203 893
a 3 206 264
a 3 210 701
a 3 213 654
a 3 219 311
a 3 225 310
a 3 230 361
a 3 247 319
a 3 249 484
a 3 250 865
a 3 251 662
a 3 252 662
a 3 254 483
a 3 266 376
a 3 281 404
a 3 298 100
a 3 302 190
a 3 306 148
a 3 307 583
a 3 309 784
a 3 318 620
a 3 320 551
a 3 322 717
a 3 326 869
a 3 336 228
a 3 341 457
a 3 345 437
a 3 346 717
a 3 365 780
a 3 369 29
a 3 370 178
a 3 374 24
a 3 376 644
a 3 381 230
a 3 389 677
a 3 390 954
a 3 395 892
a 3 402 390
a 3 404 272
a 3 407 375
a 3 412 606
a 3 414 934
a 3 422 36
a 3 427 88
a 3 429 661
a 3 432 791
a 3 435 539
a 3 436 203
a 3 438 291
a 3 451 122
a 3 453 986
a 3 459 910
