c TIGER/Line graph USA-road-d.NY
c
p sp 100 2419
c graph contains 100 nodes and 2419 arcs
c
a 1 4 582
a 1 6 279
a 1 8 439
a 1 9 571
a 1 10 873
a 1 12 812
a 1 13 978
a 1 15 464
a 1 18 597
a 1 19 224
a 1 21 381
a 1 24 8
a 1 27 810
a 1 28 290
a 1 29 327
a 1 31 980
a 1 32 246
a 1 35 131
a 1 37 318
a 1 38 132
a 1 43 137
a 1 44 31
a 1 49 486
a 1 50 435
a 1 52 891
a 1 53 990
a 1 56 572
a 1 58 991
a 1 59 894
a 1 61 990
a 1 63 66
a 1 64 827
a 1 68 268
a 1 71 504
a 1 81 749
a 1 83 140
a 1 85 667
a 1 86 727
a 1 88 955
a 1 90 263
a 1 91 302
a 1 93 335
a 1 94 271
a 1 95 464
a 1 97 977
a 1 98 949
a 1 99 795
a 1 100 222
a 2 3 79
a 2 4 113
a 2 6 706
a 2 7 216
a 2 9 143
a 2 12 191
a 2 14 2
a 2 16 385
a 2 17 532
a 2 18 573
a 2 20 375
a 2 27 425
a 2 31 562
a 2 32 792
a 2 34 251
a 2 43 181
a 2 45 295
a 2 46 1000
a 2 47 320
a 2 50 314
a 2 52 78
a 2 53 274
a 2 55 576
a 2 62 379
a 2 68 961
a 2 71 198
a 2 76 842
a 2 78 289
a 2 83 147
a 2 88 989
a 2 91 510
a 2 92 225
a 2 93 101
a 2 94 567
a 2 95 792
a 2 99 595
a 3 6 110
a 3 7 145
a 3 9 979
a 3 12 641
a 3 14 69
a 3 15 353
a 3 18 66
a 3 19 982
a 3 20 497
a 3 21 316
a 3 23 162
a 3 24 791
a 3 25 667
a 3 27 481
a 3 28 456
a 3 30 744
a 3 31 107
a 3 34 32
a 3 38 475
a 3 42 419
a 3 43 229
a 3 47 668
a 3 51 707
a 3 52 727
a 3 54 656
a 3 55 568
a 3 56 304
a 3 57 108
a 3 60 487
a 3 61 95
a 3 62 702
a 3 63 596
a 3 64 592
a 3 65 680
a 3 67 236
a 3 68 660
a 3 69 385
a 3 70 653
a 3 71 642
a 3 72 881
a 3 77 321
a 3 78 155
a 3 79 23
a 3 80 987
a 3 81 988
a 3 84 479
a 3 85 83
a 3 86 446
a 3 88 862
a 3 89 557
a 3 90 864
a 3 95 442
a 3 96 576
a 3 99 922
a 3 100 169
a 4 7 232
a 4 9 841
a 4 10 472
a 4 11 339
a 4 15 327
a 4 16 918
a 4 18 393
a 4 21 274
a 4 23 861
a 4 25 424
a 4 26 862
a 4 27 521
a 4 29 808
a 4 31 514
a 4 32 514
a 4 33 40
a 4 35 186
a 4 36 668
a 4 37 415
a 4 39 525
a 4 41 7
a 4 44 245
a 4 46 607
a 4 48 452
a 4 51 106
a 4 52 515
a 4 57 315
a 4 58 547
a 4 60 90
a 4 61 588
a 4 62 67
a 4 66 673
a 4 67 781
a 4 68 890
a 4 69 12
a 4 70 459
a 4 71 808
a 4 73 404
a 4 74 733
a 4 75 668
a 4 78 179
a 4 79 946
a 4 81 540
a 4 88 987
a 4 89 811
a 4 93 405
a 4 94 378
a 4 95 997
a 4 96 73
a 5 6 144
a 5 7 873
a 5 9 79
a 5 12 388
a 5 14 479
a 5 16 531
a 5 17 845
a 5 19 345
a 5 20 197
a 5 22 744
a 5 23 786
a 5 24 137
a 5 26 810
a 5 30 459
a 5 31 917
a 5 33 700
a 5 36 470
a 5 37 375
a 5 43 859
a 5 44 225
a 5 45 459
a 5 46 878
a 5 49 403
a 5 50 404
a 5 51 418
a 5 52 741
a 5 55 567
a 5 57 822
a 5 58 471
a 5 64 563
a 5 67 246
a 5 68 614
a 5 70 435
a 5 72 677
a 5 73 354
a 5 74 265
a 5 77 559
a 5 79 198
a 5 81 609
a 5 84 107
a 5 85 941
a 5 86 394
a 5 87 243
a 5 90 103
a 5 93 204
a 5 95 511
a 5 96 802
a 5 97 25
a 5 99 238
a 5 100 12
a 6 7 249
a 6 8 696
a 6 13 889
a 6 14 4
a 6 18 452
a 6 22 658
a 6 23 96
a 6 24 18
a 6 26 832
a 6 27 918
a 6 29 932
a 6 31 77
a 6 35 532
a 6 36 718
a 6 37 105
a 6 41 237
a 6 46 982
a 6 52 663
a 6 54 434
a 6 58 942
a 6 60 770
a 6 62 727
a 6 63 687
a 6 65 364
a 6 67 829
a 6 68 891
a 6 69 875
a 6 70 982
a 6 71 915
a 6 73 464
a 6 74 993
a 6 76 516
a 6 79 159
a 6 80 233
a 6 82 871
a 6 90 962
a 6 91 891
a 6 94 318
a 6 97 331
a 6 98 722
a 6 99 236
a 7 11 262
a 7 12 150
a 7 14 767
a 7 18 331
a 7 19 255
a 7 21 355
a 7 22 312
a 7 24 269
a 7 26 788
a 7 27 605
a 7 28 38
a 7 30 514
a 7 31 644
a 7 32 754
a 7 33 694
a 7 34 534
a 7 35 980
a 7 38 675
a 7 45 800
a 7 47 443
a 7 48 19
a 7 49 667
a 7 51 953
a 7 53 252
a 7 55 537
a 7 56 267
a 7 57 494
a 7 58 855
a 7 60 597
a 7 63 215
a 7 65 442
a 7 69 211
a 7 70 364
a 7 72 560
a 7 73 541
a 7 78 970
a 7 79 914
a 7 80 205
a 7 81 239
a 7 82 701
a 7 83 809
a 7 85 628
a 7 86 567
a 7 91 804
a 7 98 381
a 8 11 260
a 8 12 337
a 8 13 712
a 8 14 287
a 8 15 489
a 8 16 154
a 8 19 305
a 8 20 155
a 8 21 107
a 8 25 908
a 8 28 44
a 8 32 373
a 8 35 401
a 8 36 250
a 8 37 321
a 8 38 967
a 8 39 691
a 8 40 531
a 8 41 683
a 8 46 250
a 8 50 424
a 8 52 652
a 8 53 163
a 8 56 628
a 8 63 242
a 8 64 215
a 8 65 788
a 8 69 870
a 8 70 781
a 8 72 592
a 8 73 602
a 8 75 393
a 8 76 280
a 8 78 314
a 8 83 679
a 8 86 768
a 8 87 467
a 8 90 335
a 8 95 275
a 8 96 925
a 8 98 243
a 8 99 670
a 9 11 649
a 9 12 995
a 9 16 919
a 9 19 970
a 9 22 314
a 9 23 609
a 9 25 852
a 9 26 996
a 9 27 210
a 9 28 275
a 9 29 999
a 9 30 372
a 9 32 254
a 9 33 241
a 9 35 586
a 9 39 42
a 9 41 462
a 9 42 719
a 9 43 633
a 9 44 63
a 9 45 111
a 9 48 264
a 9 51 728
a 9 53 141
a 9 55 32
a 9 56 547
a 9 57 475
a 9 61 658
a 9 66 471
a 9 68 69
a 9 69 327
a 9 71 472
a 9 73 416
a 9 74 245
a 9 75 793
a 9 77 729
a 9 79 205
a 9 80 996
a 9 83 76
a 9 84 414
a 9 89 271
a 9 90 74
a 9 93 137
a 9 95 524
a 9 97 666
a 9 98 74
a 9 99 917
a 9 100 479
a 10 11 792
a 10 13 901
a 10 15 542
a 10 16 254
a 10 19 165
a 10 20 269
a 10 21 394
a 10 22 196
a 10 23 815
a 10 24 221
a 10 27 205
a 10 28 638
a 10 33 289
a 10 34 531
a 10 35 461
a 10 37 56
a 10 39 127
a 10 41 253
a 10 42 784
a 10 43 683
a 10 44 248
a 10 45 211
a 10 49 448
a 10 50 870
a 10 51 637
a 10 54 584
a 10 55 746
a 10 57 302
a 10 58 9
a 10 59 662
a 10 60 781
a 10 61 801
a 10 62 915
a 10 63 674
a 10 65 54
a 10 69 79
a 10 71 294
a 10 73 800
a 10 75 626
a 10 78 461
a 10 80 20
a 10 85 830
a 10 86 450
a 10 87 308
a 10 91 712
a 10 96 910
a 10 97 716
a 10 98 838
a 10 99 514
a 11 12 851
a 11 19 520
a 11 20 113
a 11 21 62
a 11 24 319
a 11 29 983
a 11 33 698
a 11 36 902
a 11 37 80
a 11 38 351
a 11 43 910
a 11 44 93
a 11 45 483
a 11 46 62
a 11 47 7
a 11 48 156
a 11 49 468
a 11 53 85
a 11 55 802
a 11 56 267
a 11 57 710
a 11 58 262
a 11 59 286
a 11 61 891
a 11 68 63
a 11 69 945
a 11 71 602
a 11 73 972
a 11 75 660
a 11 77 791
a 11 79 837
a 11 80 511
a 11 81 662
a 11 82 949
a 11 83 924
a 11 86 980
a 11 87 283
a 11 88 621
a 11 90 233
a 11 91 362
a 11 93 971
a 11 96 495
a 11 99 807
a 12 13 806
a 12 17 556
a 12 18 813
a 12 21 313
a 12 22 375
a 12 23 250
a 12 26 114
a 12 31 641
a 12 33 311
a 12 34 727
a 12 37 278
a 12 38 202
a 12 39 789
a 12 40 223
a 12 41 155
a 12 43 112
a 12 45 234
a 12 46 946
a 12 53 948
a 12 57 744
a 12 58 959
a 12 60 897
a 12 61 19
a 12 63 939
a 12 65 531
a 12 69 639
a 12 70 523
a 12 71 245
a 12 74 962
a 12 75 17
a 12 76 51
a 12 78 767
a 12 79 925
a 12 80 863
a 12 82 79
a 12 83 299
a 12 84 464
a 12 85 545
a 12 86 292
a 12 87 775
a 12 91 271
a 12 92 569
a 12 94 976
a 12 95 60
a 12 96 791
a 12 97 482
a 12 98 523
a 12 99 25
a 13 14 427
a 13 17 471
a 13 18 120
a 13 19 738
a 13 22 719
a 13 23 139
a 13 24 676
a 13 25 249
a 13 30 129
a 13 36 550
a 13 38 493
a 13 39 442
a 13 40 567
a 13 45 543
a 13 53 560
a 13 54 843
a 13 55 758
a 13 58 991
a 13 69 141
a 13 70 221
a 13 71 535
a 13 72 432
a 13 73 995
a 13 74 157
a 13 75 353
a 13 76 322
a 13 79 568
a 13 84 143
a 13 85 804
a 13 86 91
a 13 87 519
a 13 88 582
a 13 90 561
a 13 91 991
a 13 95 319
a 13 98 279
a 13 99 481
a 14 17 346
a 14 18 527
a 14 20 609
a 14 23 896
a 14 26 372
a 14 30 51
a 14 31 814
a 14 32 266
a 14 33 610
a 14 34 656
a 14 37 23
a 14 41 952
a 14 42 148
a 14 43 596
a 14 45 486
a 14 46 932
a 14 49 942
a 14 51 643
a 14 52 284
a 14 55 264
a 14 57 210
a 14 58 778
a 14 60 419
a 14 61 300
a 14 62 649
a 14 66 352
a 14 69 212
a 14 70 639
a 14 76 23
a 14 77 490
a 14 78 119
a 14 79 368
a 14 81 369
a 14 82 79
a 14 85 615
a 14 86 740
a 14 88 129
a 14 89 780
a 14 90 357
a 14 94 91
a 14 96 435
a 14 99 380
a 14 100 42
a 15 16 935
a 15 17 327
a 15 19 880
a 15 20 866
a 15 23 268
a 15 24 874
a 15 26 501
a 15 27 883
a 15 28 435
a 15 29 278
a 15 30 301
a 15 32 735
a 15 33 926
a 15 34 5
a 15 39 946
a 15 40 564
a 15 43 27
a 15 45 788
a 15 50 34
a 15 52 746
a 15 54 508
a 15 58 113
a 15 59 361
a 15 62 599
a 15 63 593
a 15 65 492
a 15 66 955
a 15 68 35
a 15 69 927
a 15 70 334
a 15 72 429
a 15 73 213
a 15 74 660
a 15 75 308
a 15 77 78
a 15 78 280
a 15 79 181
a 15 81 578
a 15 82 162
a 15 83 615
a 15 84 207
a 15 86 815
a 15 87 701
a 15 89 133
a 15 92 819
a 15 93 999
a 15 94 48
a 15 95 845
a 15 99 138
a 15 100 434
a 16 17 590
a 16 18 645
a 16 20 546
a 16 23 302
a 16 25 243
a 16 29 138
a 16 30 794
a 16 31 197
a 16 32 525
a 16 36 72
a 16 39 883
a 16 49 953
a 16 51 284
a 16 57 894
a 16 61 260
a 16 64 361
a 16 67 173
a 16 68 792
a 16 71 290
a 16 74 335
a 16 75 758
a 16 76 496
a 16 77 149
a 16 78 811
a 16 79 980
a 16 80 967
a 16 81 161
a 16 83 380
a 16 86 163
a 16 88 298
a 16 89 813
a 16 95 752
a 16 96 942
a 17 19 358
a 17 20 406
a 17 21 536
a 17 26 847
a 17 27 199
a 17 28 732
a 17 30 371
a 17 33 622
a 17 34 966
a 17 36 323
a 17 38 905
a 17 39 860
a 17 41 934
a 17 42 617
a 17 43 32
a 17 45 77
a 17 48 258
a 17 50 718
a 17 52 187
a 17 55 105
a 17 57 218
a 17 59 997
a 17 61 85
a 17 62 536
a 17 64 157
a 17 66 464
a 17 70 698
a 17 72 806
a 17 74 276
a 17 76 802
a 17 77 99
a 17 82 985
a 17 83 559
a 17 85 634
a 17 86 183
a 17 88 757
a 17 89 717
a 17 90 554
a 17 91 730
a 17 92 683
a 17 94 228
a 18 19 634
a 18 22 894
a 18 23 514
a 18 26 602
a 18 29 277
a 18 31 942
a 18 34 859
a 18 35 347
a 18 38 128
a 18 39 963
a 18 40 564
a 18 42 476
a 18 45 399
a 18 46 452
a 18 48 984
a 18 49 862
a 18 50 501
a 18 51 789
a 18 52 489
a 18 54 654
a 18 55 887
a 18 60 825
a 18 63 212
a 18 64 872
a 18 65 8
a 18 66 320
a 18 67 589
a 18 68 913
a 18 70 49
a 18 77 623
a 18 79 492
a 18 80 34
a 18 81 868
a 18 82 357
a 18 84 635
a 18 87 144
a 18 90 299
a 18 91 493
a 18 93 490
a 18 95 778
a 18 97 808
a 18 98 406
a 18 99 254
a 18 100 206
a 19 21 857
a 19 22 237
a 19 25 420
a 19 27 709
a 19 28 378
a 19 32 908
a 19 33 363
a 19 34 264
a 19 35 733
a 19 36 574
a 19 38 136
a 19 39 92
a 19 42 246
a 19 43 76
a 19 45 4
a 19 49 294
a 19 50 50
a 19 52 495
a 19 53 328
a 19 55 917
a 19 57 852
a 19 60 314
a 19 61 60
a 19 66 502
a 19 67 807
a 19 73 902
a 19 80 279
a 19 84 966
a 19 85 659
a 19 86 884
a 19 87 171
a 19 90 867
a 19 91 121
a 19 92 590
a 19 94 575
a 19 95 498
a 20 22 850
a 20 24 937
a 20 25 113
a 20 28 934
a 20 29 863
a 20 32 600
a 20 33 25
a 20 34 108
a 20 38 675
a 20 41 380
a 20 42 401
a 20 43 724
a 20 44 226
a 20 47 80
a 20 50 992
a 20 56 429
a 20 60 394
a 20 62 52
a 20 64 930
a 20 67 552
a 20 70 305
a 20 71 209
a 20 72 517
a 20 77 963
a 20 78 92
a 20 80 39
a 20 84 829
